"","Row.names","cls","dgr","burts","btw"
"174","Dolf",0.000308928019771393,1,1,0
"175","Donal-Noye",0.000418585182084554,8,0.187554496681291,75.8781501943097
"176","Donella-Hornwood",0.000383729854182655,7,0.217412636858741,70.726462263141
"177","Donnel-Waynwood",0.000380517503805175,1,1,0
"178","Dontos-Hollard",0.000443066016836509,9,0.142161192846124,147.804336102183
"179","Doran-Martell",0.000453103760761214,21,0.0952100774873952,4588.03101044567
"180","Dorcas",0.000395413206801107,6,0.266584045886146,1.64397357028936
"181","Doreah",0.000355618776671408,6,0.257558662086525,0.652272727272727
"182","Draqaz",0.000273373428102788,1,1,0
"183","Drennan",0.000374391613627855,2,0.702077594123049,0
"184","Drogo",0.000417188151856487,21,0.123302137661593,3910.63171345103
"185","Dryn",0.000299222022740874,1,1,0
"186","Dunsen",0.000419287211740042,13,0.177634518485851,13.4996620496894
"187","Dunstan-Drumm",0.000315756236185665,3,0.403676303854875,2.31709956709957
"188","Dywen",0.000396667988893296,8,0.234791318920294,174.514027785309
"189","Ebben",0.000388349514563107,4,0.475418898515085,0.333333333333333
"190","Eddard-Stark",0.000573394495412844,74,0.0323567431623516,24849.1240817754
"191","Eddison-Tollett",0.000401929260450161,20,0.113060643647192,986.911971908058
"192","Edmure-Tully",0.000441891294741494,24,0.0883755897611791,1092.20666975565
"193","Edric-Storm",0.000420168067226891,6,0.249425724187812,508.38771565948
"194","Edwyn-Frey",0.000392927308447937,4,0.360569581663074,0.326923076923077
"195","Elbert-Arryn",0.000337381916329285,1,1,0
"196","Elder-Brother",0.00034965034965035,3,0.631385459533608,0
"197","Eldon-Estermont",0.000301932367149758,2,0.5,794
"198","Elia-Martell",0.000431592576607682,9,0.141541749780561,852.172000014687
"199","Elinor-Tyrell",0.000382848392036753,5,0.366419111111111,9.95976366195362
"200","Ellaria-Sand",0.000420344682639765,6,0.229068294248725,312.0780685032
"201","Elmar-Frey",0.000429553264604811,9,0.150544411803342,33.2671031553472
"202","Elys-Waynwood",0.000273000273000273,1,1,0
"203","Emmett",0.000391083300743058,5,0.301689977039,7.02241057621803
"204","Emmon-Cuy",0.000365497076023392,3,0.437613586706641,5.34135890483105
"205","Emmon-Frey",0.000397772474144789,8,0.234939666015428,146.51009834704
"206","Emmond",0.0002999400119976,1,1,0
"207","Emrick",0.000299670362601139,3,0.597902399767201,0
"208","Eon-Hunter",0.000381242851696531,3,0.44061049382716,0
"209","Eroeh",0.000348675034867503,1,1,0
"210","Errok",0.000388048117966628,3,0.462441969323895,0.333333333333333
"211","Euron-Greyjoy",0.000393855848759354,13,0.170767036323466,2526.46124315196
"212","Eustace-Brune",0.00030571690614491,1,1,0
"213","Ezzara",0.000348675034867503,1,1,0
"214","Falyse-Stokeworth",0.000396825396825397,4,0.373185833927065,1.74040012480415
"215","Farlen",0.000374251497005988,1,1,0
"216","Florian-the-Fool",0.000380517503805175,2,0.5,794
"217","Fogo",0.000251130085384229,1,1,0
"218","Forley-Prester",0.000327439423706614,2,0.587673611111111,0
